Date,energydemand,min temparature,max temparature
2020-04-01,8321,24.26,37.64
2020-04-02,8479,25.49,38.13
2020-04-03,8424,25.47,37.71
2020-04-04,8222,24.78,36.86
2020-04-05,8189,25.33,36.31
2020-04-06,8595,26.64,37.11
2020-04-07,8312,26.67,37.24
2020-04-08,8095,26.28,36.68
2020-04-09,6391,25.41,37.08
2020-04-10,6831,22.62,34.13
2020-04-11,7345,24.79,35.82
2020-04-12,7540,24.74,36.34
2020-04-13,7724,24.69,37.04
2020-04-14,7862,24.68,37.94
2020-04-15,8025,24.87,36.87
2020-04-16,8204,25.12,37.02
2020-04-17,8400,26.09,37.06
2020-04-18,8332,26.73,37.48
2020-04-19,8281,26.65,37.29
2020-04-20,8455,26.13,37.01
2020-04-21,8416,25.71,37.11
2020-04-22,8387,26.84,37.31
2020-04-23,8484,27.17,37.68
2020-04-24,8410,28.0,37.89
2020-04-25,8165,27.88,37.92
2020-04-26,7579,25.48,37.76
2020-04-27,7383,26.24,37.68
2020-04-28,7649,26.54,36.4
2020-04-29,6866,25.16,36.47
2020-04-30,7191,25.81,35.89
2020-05-01,7537,27.27,37.25
2020-05-02,7838,26.62,38.33
2020-05-03,8260,27.67,37.73
2020-05-04,8414,27.51,38.49
2020-05-05,8533,28.03,38.55
2020-05-06,8702,27.77,38.34
2020-05-07,8762,27.61,38.3
2020-05-08,8884,27.45,38.25
2020-05-09,9123,27.81,38.25
2020-05-10,8750,27.09,38.78
2020-05-11,9100,27.64,38.36
2020-05-12,8890,26.86,37.6
2020-05-13,9075,26.56,37.66
2020-05-14,8620,27.42,37.87
2020-05-15,9071,26.75,38.04
2020-05-16,9506,27.71,38.23
2020-05-17,9055,27.75,38.16
2020-05-18,8618,27.52,38.42
2020-05-19,7789,26.58,38.14
2020-05-20,8890,27.75,38.85
2020-05-21,9649,28.72,40.61
2020-05-22,10060,28.53,42.28
2020-05-23,10029,28.74,41.6
2020-05-24,9870,29.14,40.51
2020-05-25,9955,29.02,39.36
2020-05-26,10071,28.61,38.94
2020-05-27,10101,29.06,38.84
2020-05-28,10062,29.04,39.19
2020-05-29,9880,29.46,39.85
2020-05-30,9188,27.39,40.18
2020-05-31,9317,28.6,38.32
2020-06-01,8926,27.94,38.28
2020-06-02,8676,27.18,37.05
2020-06-03,8712,26.89,36.79
2020-06-04,8227,28.26,36.52
2020-06-05,8987,27.91,37.19
2020-06-06,9423,28.07,37.63
2020-06-07,9046,28.39,38.86
2020-06-08,9096,28.33,38.46
2020-06-09,9237,28.24,37.97
2020-06-10,8525,26.97,37.52
2020-06-11,6623,24.59,35.03
2020-06-12,6365,25.04,30.45
2020-06-13,7283,25.85,31.1
2020-06-14,7406,27.35,35.43
2020-06-15,8170,27.33,36.65
2020-06-16,7980,27.06,36.18
2020-06-17,7762,26.81,35.16
2020-06-18,7821,26.47,34.51
2020-06-19,7562,26.68,34.4
2020-06-20,8353,27.47,36.64
2020-06-21,7767,27.44,36.96
2020-06-22,8278,26.55,34.42
2020-06-23,8640,26.25,36.11
2020-06-24,8812,26.76,36.81
2020-06-25,8270,26.27,36.49
2020-06-26,8470,26.55,35.54
2020-06-27,8336,27.23,34.93
2020-06-28,7842,26.93,35.39
2020-06-29,8202,26.63,34.93
2020-06-30,7472,26.05,34.89
2020-07-01,7434,25.32,34.68
2020-07-02,7342,25.97,34.02
2020-07-03,7200,25.37,34.24
2020-07-04,6675,25.25,33.91
2020-07-05,6433,24.79,32.26
2020-07-06,6986,24.95,31.61
2020-07-07,7812,25.85,32.27
2020-07-08,8500,25.62,35.83
2020-07-09,7190,24.07,35.48
2020-07-10,7178,24.93,33.26
2020-07-11,7352,24.57,32.68
2020-07-12,7090,25.07,34.39
2020-07-13,7301,24.6,34.28
2020-07-14,6879,24.58,33.37
2020-07-15,6439,24.17,31.43
2020-07-16,6619,24.16,29.04
2020-07-17,6792,24.61,30.89
2020-07-18,7016,24.67,33.23
2020-07-19,6934,25.41,33.54
2020-07-20,7050,24.92,33.02
2020-07-21,7286,25.07,34.22
2020-07-22,7454,26.1,34.14
2020-07-23,7292,25.62,34.38
2020-07-24,7049,24.49,31.06
2020-07-25,6992,24.62,32.72
2020-07-26,6932,24.65,32.73
2020-07-27,7498,25.21,33.97
2020-07-28,8296,26.12,34.6
2020-07-29,7954,24.8,34.3
2020-07-30,7960,25.1,33.13
2020-07-31,8074,25.8,34.21
2020-08-01,7320,25.44,33.9
2020-08-02,7278,25.37,33.27
2020-08-03,7220,25.5,34.19
2020-08-04,6894,24.96,32.52
2020-08-05,6646,25.04,30.83
2020-08-06,7337,25.73,30.48
2020-08-07,7978,26.8,33.51
2020-08-08,8332,27.03,33.84
2020-08-09,8045,26.87,34.81
2020-08-10,7239,24.72,31.76
2020-08-11,7712,25.01,30.96
2020-08-12,7623,24.99,33.34
2020-08-13,7479,24.86,30.14
2020-08-14,7511,24.19,29.53
2020-08-15,7189,23.84,28.88
2020-08-16,6833,24.24,27.59
2020-08-17,7175,24.62,28.97
2020-08-18,7800,25.2,31.57
2020-08-19,7945,25.48,33.34
2020-08-20,7946,25.22,31.56
2020-08-21,7770,25.03,29.53
2020-08-22,7869,25.16,32.84
2020-08-23,7605,25.47,32.69
2020-08-24,7652,25.23,32.17
2020-08-25,8051,25.71,32.87
2020-08-26,7967,25.81,33.58
2020-08-27,7805,25.35,32.23
2020-08-28,8292,25.3,32.27
2020-08-29,8730,25.92,33.86
2020-08-30,8892,26.18,34.55
2020-08-31,8717,25.59,35.09
2020-09-01,8420,26.84,34.98
2020-09-02,8091,25.1,34.67
2020-09-03,8045,25.18,32.53
2020-09-04,8266,25.87,33.68
2020-09-05,8600,25.9,33.76
2020-09-06,8782,26.17,34.41
2020-09-07,9523,26.42,34.83
2020-09-08,9060,25.95,35.11
2020-09-09,9103,26.48,34.88
2020-09-10,9043,26.19,34.97
2020-09-11,8610,25.71,34.42
2020-09-12,8140,25.36,32.58
2020-09-13,6640,24.51,32.04
2020-09-14,6927,24.25,29.59
2020-09-15,7247,24.81,29.53
2020-09-16,7228,24.88,31.51
2020-09-17,7170,25.65,32.05
2020-09-18,7391,25.49,33.04
2020-09-19,6608,24.36,33.48
2020-09-20,6574,25.34,30.38
2020-09-21,7050,24.73,30.56
2020-09-22,7237,25.42,30.61
2020-09-23,7662,25.09,32.15
2020-09-24,8260,25.67,33.52
2020-09-25,8555,26.11,34.27
2020-09-26,7015,23.83,33.96
2020-09-27,7122,24.32,28.02
2020-09-28,7490,24.77,31.35
2020-09-29,7954,25.66,33.64
2020-09-30,7088,24.14,32.65
2020-10-01,7286,23.85,30.18
2020-10-02,7224,24.5,31.2
2020-10-03,7346,25.99,32.71
2020-10-04,7131,25.81,32.93
2020-10-05,7780,25.26,31.31
2020-10-06,8176,25.04,32.91
2020-10-07,8110,25.31,33.69
2020-10-08,8450,25.21,32.82
2020-10-09,8387,25.46,32.98
2020-10-10,7707,25.61,33.81
2020-10-11,6511,24.22,31.43
2020-10-12,7129,23.77,28.47
2020-10-13,7127,24.25,29.41
2020-10-14,7192,24.03,30.49
2020-10-15,7482,24.36,31.72
2020-10-16,7547,24.91,32.01
2020-10-17,7505,24.89,32.56
2020-10-18,7396,24.97,32.29
2020-10-19,7324,24.93,32.19
2020-10-20,7453,24.61,32.84
2020-10-21,7395,24.61,30.42
2020-10-22,7442,24.91,29.79
2020-10-23,7470,24.86,32.19
2020-10-24,7450,24.14,33.17
2020-10-25,7171,24.31,33.51
2020-10-26,7558,23.99,33.47
2020-10-27,8097,23.66,33.22
2020-10-28,8003,23.56,32.99
2020-10-29,8128,23.52,32.23
2020-10-30,8315,23.05,31.58
2020-10-31,8820,22.62,33.19
2020-11-01,8660,23.02,33.52
2020-11-02,9338,23.43,34.03
2020-11-03,9490,24.22,33.99
2020-11-04,9022,24.45,33.51
2020-11-05,8951,23.59,32.95
2020-11-06,8368,23.71,32.68
2020-11-07,8107,23.91,32.23
2020-11-08,7908,23.17,31.53
2020-11-09,8256,20.92,31.54
2020-11-10,8350,18.72,31.24
2020-11-11,8618,20.51,30.91
2020-11-12,7833,23.07,29.98
2020-11-13,7560,22.7,28.29
2020-11-14,7465,22.29,31.0
2020-11-15,7370,22.45,31.89
2020-11-16,7314,23.36,29.56
2020-11-17,7414,22.93,29.49
2020-11-18,7516,22.84,31.15
2020-11-19,7772,23.01,31.73
2020-11-20,7940,22.09,32.2
2020-11-21,7933,20.89,31.8
2020-11-22,8192,21.62,32.59
2020-11-23,8150,22.21,32.23
2020-11-24,7877,22.36,30.29
2020-11-25,7522,21.33,29.97
2020-11-26,5826,21.24,28.09
2020-11-27,6286,19.81,23.78
2020-11-28,6817,19.98,23.92
2020-11-29,6607,21.75,26.98
2020-11-30,6914,20.77,28.53
2020-12-01,7090,19.94,30.21
2020-12-02,7123,19.73,29.54
2020-12-03,7124,20.81,29.65
2020-12-04,7218,21.38,28.54
2020-12-05,7115,21.39,30.07
2020-12-06,6819,20.99,30.16
2020-12-07,7111,21.79,29.83
2020-12-08,7245,21.19,29.96
2020-12-09,7254,20.03,30.07
2020-12-10,7270,19.18,30.38
2020-12-11,7442,19.08,30.34
2020-12-12,7485,18.26,30.2
2020-12-13,7544,18.27,29.91
2020-12-14,7781,18.74,30.35
2020-12-15,7916,19.24,30.14
2020-12-16,8001,20.99,29.63
2020-12-17,7848,21.36,29.55
2020-12-18,8206,21.0,30.0
2020-12-19,8176,21.07,29.91
2020-12-20,7883,19.89,29.45
2020-12-21,8166,17.36,29.14
2020-12-22,8380,16.45,28.89
2020-12-23,8610,17.0,28.93
2020-12-24,8706,17.19,28.95
2020-12-25,8701,18.03,28.89
2020-12-26,8638,18.15,29.06
2020-12-27,8668,18.08,29.03
2020-12-28,8459,18.12,29.21
2020-12-29,8601,18.38,29.71
2020-12-30,8885,19.68,29.42
2020-12-31,8934,20.82,29.28
2020-01-01,8657,20.71,29.23
2020-01-02,8414,21.98,29.81
2020-01-03,8433,21.97,29.02
2020-01-04,8004,22.58,30.83
2020-01-05,8042,22.44,29.66
2020-01-06,7842,22.33,28.69
2020-01-07,7668,21.88,28.52
2020-01-08,7990,20.78,29.25
2020-01-09,8193,19.95,29.84
2020-01-10,8521,20.39,30.32
2020-01-11,8372,20.59,29.63
2020-01-12,8624,19.91,29.5
2020-01-13,8832,18.46,29.41
2020-01-14,8700,18.71,30.18
2020-01-15,8230,18.06,30.14
2020-01-16,8085,18.72,29.94
2020-01-17,8597,19.44,30.57
2020-01-18,8441,21.34,30.86
2020-01-19,8814,21.31,30.14
2020-01-20,8978,20.58,31.17
2020-01-21,8987,20.38,31.43
2020-01-22,9017,20.41,30.91
2020-01-23,9169,20.4,30.92
2020-01-24,8968,19.66,31.27
2020-01-25,9052,19.54,31.64
2020-01-26,8914,19.53,31.29
2020-01-27,9068,20.26,32.02
2020-01-28,9371,21.05,32.68
2020-01-29,9245,22.14,32.37
2020-01-30,9605,22.15,32.51
2020-01-31,9480,21.94,32.85
2020-02-01,9299,21.99,32.6
2020-02-02,9112,21.59,31.68
2020-02-03,9225,20.6,31.27
2020-02-04,8953,20.97,31.61
2020-02-05,9268,21.24,30.68
2020-02-06,9336,20.6,32.19
2020-02-07,9304,21.7,32.26
2020-02-08,9226,22.15,32.01
2020-02-09,9077,22.31,31.87
2020-02-10,9130,21.17,30.26
2020-02-11,9057,21.26,29.59
2020-02-12,9117,21.23,30.81
2020-02-13,9213,20.55,31.27
2020-02-14,9298,19.98,32.22
2020-02-15,9260,19.66,33.95
2020-02-16,9496,20.23,33.66
2020-02-17,9708,19.77,33.47
2020-02-18,9562,20.23,32.93
2020-02-19,9817,21.26,32.69
2020-02-20,9754,20.47,32.21
2020-02-21,9936,20.23,31.97
2020-02-22,9616,20.02,32.17
2020-02-23,9580,20.44,32.63
2020-02-24,9661,21.36,32.62
2020-02-25,9941,22.04,32.97
2020-02-26,9914,22.63,33.38
2020-02-27,9954,23.01,32.8
2020-02-28,9778,22.36,32.63
2020-02-29,9818,22.04,32.49
2020-03-01,9762,22.24,32.84
2020-03-02,9750,22.59,32.94
2020-03-03,9903,21.93,33.14
2020-03-04,10005,23.18,33.96
2020-03-05,9982,23.21,34.21
2020-03-06,9790,24.39,33.9
2020-03-07,8950,24.92,33.16
2020-03-08,8760,24.31,32.6
2020-03-09,9136,23.38,33.31
2020-03-10,9112,23.43,33.63
2020-03-11,9496,23.91,34.33
2020-03-12,9694,24.12,34.33
2020-03-13,9589,24.07,34.91
2020-03-14,9809,22.76,34.92
2020-03-15,9527,22.91,34.63
2020-03-16,9967,23.13,34.15
2020-03-17,9980,23.44,34.67
2020-03-18,10207,23.15,35.31
2020-03-19,10201,23.99,36.14
2020-03-20,9896,24.56,36.61
2020-03-21,9810,24.14,35.22
2020-03-22,8514,24.59,35.53
2020-03-23,9317,24.5,35.54
2020-03-24,8784,23.63,35.11
2020-03-25,8220,24.09,35.39
2020-03-26,8217,23.84,35.46
2020-03-27,8095,23.65,35.97
2020-03-28,8138,22.91,36.48
2020-03-29,8244,24.25,37.14
2020-03-30,8200,24.05,37.78
2020-03-31,8296,24.09,37.25
2019-04-01,8839,26.16,38.55
2019-04-02,8907,25.72,38.03
2019-04-03,8833,25.66,37.68
2019-04-04,8717,25.29,37.06
2019-04-05,8862,25.41,36.87
2019-04-06,8609,25.89,37.63
2019-04-07,8296,25.45,37.82
2019-04-08,8760,26.16,37.66
2019-04-09,8834,26.56,37.58
2019-04-10,8943,26.83,37.44
2019-04-11,8552,25.68,37.96
2019-04-12,8918,25.91,38.01
2019-04-13,8946,26.04,37.99
2019-04-14,8572,26.12,38.73
2019-04-15,8685,25.63,38.89
2019-04-16,8920,25.38,39.04
2019-04-17,8999,25.81,38.83
2019-04-18,9130,26.87,38.11
2019-04-19,8945,26.1,37.74
2019-04-20,9023,27.51,37.56
2019-04-21,8227,26.12,37.63
2019-04-22,8354,26.76,38.19
2019-04-23,8496,24.88,37.61
2019-04-24,8616,25.83,37.72
2019-04-25,8724,26.03,38.01
2019-04-26,8878,26.89,38.65
2019-04-27,8997,27.53,38.75
2019-04-28,8801,27.49,39.03
2019-04-29,9160,28.04,38.49
2019-04-30,9001,27.71,38.46
2019-05-01,8070,27.26,38.32
2019-05-02,7700,26.57,36.89
2019-05-03,8322,27.64,37.2
2019-05-04,8986,27.86,40.22
2019-05-05,8902,28.12,40.47
2019-05-06,9306,28.69,41.02
2019-05-07,9474,28.94,40.51
2019-05-08,9382,29.33,39.92
2019-05-09,9601,29.22,40.23
2019-05-10,9802,28.88,40.75
2019-05-11,9854,29.47,40.36
2019-05-12,9396,28.44,39.43
2019-05-13,9012,28.62,38.81
2019-05-14,9459,28.44,38.5
2019-05-15,9351,28.81,39.43
2019-05-16,9432,28.17,39.08
2019-05-17,9272,28.65,38.79
2019-05-18,9678,28.24,39.13
2019-05-19,9500,28.62,40.21
2019-05-20,9485,28.48,39.92
2019-05-21,9550,28.41,39.34
2019-05-22,9688,28.04,39.56
2019-05-23,9550,28.59,39.04
2019-05-24,9675,28.26,38.83
2019-05-25,9605,28.57,39.24
2019-05-26,9508,29.58,40.23
2019-05-27,9725,28.41,40.97
2019-05-28,9700,28.82,39.62
